ticker,volume,time,buy\short_price,min_price,min_price_time,max_price,max_price_time,RPS_(30%)_SL_1%,RPS_(30%)_SL_2%,RPS_(30%)_SL_3%,RPS_(30%)_SL_4%,RPS_(30%)_SL_5%,max_loss_%,RPB_(30%)_SL_1%,RPB_(30%)_SL_2%,RPB_(30%)_SL_3%,RPB_(30%)_SL_4%,RPB_(30%)_SL_5%,max_proffit_%
BBUSDT,17.39,2026-01-17 10:58:15,0.06648,0.06648,,0.06648,,,,,,,,,,,,,
SEIUSDT,6.83,2026-01-17 11:01:16,0.1216,0.1216,,0.1216,,,,,,,,,,,,,
SPELLUSDT,7.01,2026-01-17 11:07:15,0.0002734,0.0002734,,0.0002734,,,,,,,,,,,,,
PEOPLEUSDT,6.91,2026-01-17 11:12:15,0.01097,0.01097,,0.01097,,,,,,,,,,,,,
MAVIAUSDT,13.92,2026-01-17 11:13:15,0.06244,0.06244,,0.06244,,,,,,,,,,,,,
USUALUSDT,5.31,2026-01-17 11:33:15,0.0312,0.0312,,0.0312,,,,,,,,,,,,,
COMMONUSDT,5.0,2026-01-17 11:33:16,0.003094,0.003094,,0.003094,,,,,,,,,,,,,
SOMIUSDT,5.62,2026-01-17 11:35:19,0.2369,0.2369,,0.2369,,,,,,,,,,,,,
BRUSDT,5.33,2026-01-17 11:43:15,0.05539,0.05539,,0.05539,,,,,,,,,,,,,
SHELLUSDT,6.34,2026-01-17 11:45:15,0.0506,0.0506,,0.0506,,,,,,,,,,,,,
LISTAUSDT,5.18,2026-01-17 12:03:16,0.1728,0.1728,,0.1728,,,,,,,,,,,,,
1000000BOBUSDT,46.79,2026-01-17 12:07:15,0.0198,0.0198,,0.0198,,,,,,,,,,,,,
ACEUSDT,10.85,2026-01-17 12:14:15,0.2868,0.2868,,0.2868,,,,,,,,,,,,,
OPENUSDT,8.81,2026-01-17 12:32:15,0.1818,0.1818,,0.1818,,,,,,,,,,,,,
ARPAUSDT,6.45,2026-01-17 12:55:15,0.01351,0.01351,,0.01351,,,,,,,,,,,,,
REZUSDT,5.06,2026-01-17 12:59:16,0.005457,0.005457,,0.005457,,,,,,,,,,,,,
DODOXUSDT,5.61,2026-01-17 13:17:15,0.019628,0.019628,,0.019628,,,,,,,,,,,,,
ALLUSDT,7.11,2026-01-17 14:29:15,0.6774,0.6774,,0.6774,,,,,,,,,,,,,
ZROUSDT,8.86,2026-01-17 14:32:15,1.6853,1.6853,,1.6853,,,,,,,,,,,,,
FORMUSDT,5.44,2026-01-17 14:32:17,0.3843,0.3843,,0.3843,,,,,,,,,,,,,
BATUSDT,5.97,2026-01-17 14:33:15,0.2169,0.2169,,0.2169,,,,,,,,,,,,,
HAEDALUSDT,8.61,2026-01-17 14:33:16,0.04784,0.04784,,0.04784,,,,,,,,,,,,,
1000XECUSDT,6.08,2026-01-17 14:47:16,0.01164,0.01164,,0.01164,,,,,,,,,,,,,
MASKUSDT,5.09,2026-01-17 14:51:16,0.6883,0.6883,,0.6883,,,,,,,,,,,,,
MOCAUSDT,9.29,2026-01-17 14:59:15,0.0237,0.0237,,0.0237,,,,,,,,,,,,,
DRIFTUSDT,5.07,2026-01-17 15:03:15,0.1905,0.1905,,0.1905,,,,,,,,,,,,,
BEAMXUSDT,5.12,2026-01-17 15:08:15,0.003305,0.003305,,0.003305,,,,,,,,,,,,,
NXPCUSDT,5.34,2026-01-17 15:10:20,0.3811,0.3811,,0.3811,,,,,,,,,,,,,
GHSTUSDT,8.78,2026-01-17 15:13:16,0.1892,0.1892,,0.1892,,,,,,,,,,,,,
LABUSDT,6.43,2026-01-17 15:15:15,0.15151,0.15151,,0.15151,,,,,,,,,,,,,
TURTLEUSDT,5.7,2026-01-17 15:15:16,0.05852,0.05852,,0.05852,,,,,,,,,,,,,
HIGHUSDT,6.73,2026-01-17 15:20:16,0.2381,0.2381,,0.2381,,,,,,,,,,,,,
ONGUSDT,7.05,2026-01-17 15:22:15,0.09232,0.09232,,0.09232,,,,,,,,,,,,,
CATIUSDT,6.54,2026-01-17 15:23:15,0.0627,0.0627,,0.0627,,,,,,,,,,,,,
AERGOUSDT,24.15,2026-01-17 15:29:16,0.0638,0.0638,,0.0638,,,,,,,,,,,,,
