symbol,open,close,high,high_std,low,low_std,total_volume,quote_volume_1m_avg,quote_volume_std,taker_buy_base_volume_1m_avg,taker_buy_base_volume_std,taker_buy_quote_volume_1m_avg,taker_buy_quote_volume_std,trades_1m_avg,trades_std,volatility_1m_avg,volatility_std
SPELLUSDT,0.0002115,0.000212,0.0002136,1.2333352420201846e-06,0.0002082,1.3292026410660466e-06,36424.960711,607.0826785166666,637.8323149334759,1454467.4666666666,2207343.4323377255,307.10049736166667,465.72850270659865,18.6,10.175077561858215,0.002167961518497405,0.0013412773398758697
SPKUSDT,0.02117,0.02094,0.0213,0.00015571994273365228,0.02061,0.000161008386629305,191263.54901,3187.7258168333333,2846.2147608159494,77571.03333333334,66882.03494693428,1628.2338021666667,1403.233487109513,64.0,32.5888615681046,0.0028344697020658296,0.0017675085224627758
SPORTFUNUSDT,0.03727,0.03685,0.03751,0.00023568358324760433,0.03652,0.00024035631506596485,111615.0563,1860.2509383333334,2745.054620958586,24408.383333333335,54771.01355987479,904.945338,2031.9365126572688,30.916666666666668,20.560198233782412,0.003120026883183425,0.0015732568031889813
SPXUSDT,0.2934,0.2969,0.3004,0.00316747729737381,0.288,0.003220616847958833,771867.3767,12864.456278333333,10295.782128132592,24252.816666666666,26831.354384718667,7162.015491666667,7953.426606720631,188.21666666666667,98.29324711992443,0.0037661562054843484,0.002168529265024365
SQDUSDT,0.06356,0.06359,0.06383,0.00023990322907796804,0.06277,0.00025538516386216056,54428.71026,907.145171,999.6802299806242,6974.233333333334,11764.838086385636,442.47722933333336,745.8033244118999,17.516666666666666,12.971274216601076,0.001755013527488529,0.0013459285418743838
SSVUSDT,3.853,3.904,3.933,0.029173719889712468,3.817,0.03053124268124448,246259.44908,4104.324151333333,7024.541192999765,525.2883333333333,791.8933410571997,2041.8820325000002,3063.944313403202,121.91666666666667,92.79141757264647,0.0029599268935536706,0.002318194335214757
STABLEUSDT,0.026351,0.027027,0.0273,0.0003717651569484471,0.025629,0.00039960118677823895,6121000.073674,102016.66789456666,67964.85624655364,1836183.4833333334,1305266.9411345697,49042.15065978333,34879.04471710375,2220.65,1034.2045961076415,0.007517111110494256,0.0037219825611389725
STBLUSDT,0.03363,0.03401,0.0344,0.00026676610081187327,0.03326,0.00028283891724326533,119927.73595,1998.7955991666668,4478.806318633157,34502.48333333333,97399.16748669576,1169.4075683333333,3299.5042409202933,44.1,70.43561791584168,0.0030456667312841103,0.002626648956071158
STEEMUSDT,0.05675,0.05659,0.05694,0.000208752279327181,0.05578,0.0002446657468539813,80622.81333,1343.7135555,2529.752934704432,11715.683333333332,20383.127491181313,660.7738873333333,1145.949024208575,31.483333333333334,32.56049996839868,0.0022909161144398084,0.0014137308798873533
STGUSDT,0.1523,0.1517,0.1534,0.0009841742071688866,0.1484,0.0010324399272547686,437033.7538,7283.895896666667,5396.908969252025,27442.65,25087.04306860956,4147.09681,3768.6914349345757,111.45,45.66399946848312,0.0031279608160368513,0.0016864781006396734
STORJUSDT,0.1091,0.1089,0.1103,0.0005675898097133114,0.1076,0.0005834438958983313,241533.0234,4025.55039,4908.4576366663705,18219.683333333334,24125.781877549736,1985.2162816666666,2629.0470294911847,41.0,32.272673018032044,0.002415620476491941,0.001426814291778366
STOUSDT,0.07896,0.0782,0.07912,0.00034809712749388,0.0776,0.0003540555591754663,67371.61621,1122.8602701666666,831.7543533364932,6921.2,7432.126535566921,542.8891866666667,583.0005655191155,64.13333333333334,28.93913347575708,0.0023708861547546063,0.0012345431090193008
