symbol,volume_10m
SSVUSDT,23158.03128
STABLEUSDT,572154.211556
STBLUSDT,22050.9823
STEEMUSDT,23895.00495
STGUSDT,77408.9698
STORJUSDT,24316.2015
STOUSDT,19092.39647
STRKUSDT,218530.94299
STXUSDT,118617.3003
SUIUSDT,3205392.57698
SUNUSDT,50398.638877
SUPERUSDT,105791.6565
SUSDT,99096.86160999999
SUSHIUSDT,83793.3016
SWARMSUSDT,60662.910090000005
SXTUSDT,29574.06031
SYNUSDT,140588.75559
SYRUPUSDT,92466.48658
SYSUSDT,8004.52208
TACUSDT,13891.053732
TAGUSDT,18387.5588192
TAIKOUSDT,9401.3344
TAKEUSDT,8274.43569
TAOUSDT,879624.77497
TAUSDT,31394.74606
THETAUSDT,146076.26043999998
THEUSDT,33640.62079
TIAUSDT,512752.8334
TLMUSDT,23458.726429
TNSRUSDT,54885.865141
TONUSDT,296951.27995
TOSHIUSDT,37773.708997199996
TOWNSUSDT,17012.065222
TRADOORUSDT,29288.048000000003
TRBUSDT,148197.5808
TREEUSDT,50289.7029
TRUMPUSDT,1395960.26376
TRUSTUSDT,25526.4146
TRUTHUSDT,18537.707381
TRUUSDT,14648.23442
TRXUSDT,373210.37132000003
TSTUSDT,11336.22118
TURBOUSDT,177149.57383459999
TURTLEUSDT,19222.04408
TUSDT,29979.77017
TUTUSDT,17755.476599999998
TWTUSDT,60963.8766
UAIUSDT,526182.4754
UBUSDT,7808.70163
UMAUSDT,17555.8813
UNIUSDT,1072969.571
USELESSUSDT,151013.69011
USTCUSDT,24867.647922
USUALUSDT,22064.43922
USUSDT,20383.05937
VANAUSDT,33230.23334
VANRYUSDT,25343.86634
VELODROMEUSDT,15095.48467
VELVETUSDT,7072.53099
VETUSDT,206386.076923
VFYUSDT,3685.2289
VICUSDT,13090.65
VINEUSDT,11299.77742
VIRTUALUSDT,655129.98146
VTHOUSDT,9972.9519888
VVVUSDT,58596.04301
WALUSDT,95964.6949
WAXPUSDT,6544.149364
WCTUSDT,55650.48672
WETUSDT,145604.11430000002
WIFUSDT,1266618.33477
WLDUSDT,867980.2919
WLFIUSDT,911043.3824
WOOUSDT,26444.91253
WUSDT,124004.562897
XAIUSDT,23400.59388
XANUSDT,17286.47207
XLMUSDT,812397.52617
XMRUSDT,976112.8907100001
XNYUSDT,13160.509632
XPINUSDT,9098.645564
XPLUSDT,668446.3415
XRPUSDT,27814981.0132
XTZUSDT,138921.99980000002
XVGUSDT,64130.089332
XVSUSDT,39282.203
YALAUSDT,12322.47199
YBUSDT,32850.025200000004
YFIUSDT,43633.437
YGGUSDT,68363.94346
ZAMAUSDT,166294.516
ZBTUSDT,69668.8272
ZECUSDT,5255117.39027
ZENUSDT,291166.0249
ZEREBROUSDT,12609.48624
ZETAUSDT,28618.85719
ZILUSDT,55841.04445
ZKCUSDT,68047.4225
ZKJUSDT,3960.072948
ZKPUSDT,193417.59954
ZKUSDT,1111720.08492
ZORAUSDT,1499452.07323
ZROUSDT,457879.59963
ZRXUSDT,53103.52293
币安人生USDT,360259.97102
我踏马来了USDT,1964896.077563
